Record,City,Country,ID,Latitude,Longitude,Temperature,Humidity,Cloud Cover,Wind Speed
0,Ardakān,IR,143073,32.31,54.02,68,33,40,13.87
1,Ushuaia,AR,3833367,-54.8,-68.3,55.4,47,20,6.93
2,Cañon City,US,5416005,38.44,-105.24,39.11,80,90,6.98
3,Aklavik,CA,5882953,68.22,-135.01,23.7,67,90,9.17
4,Punta Arenas,CL,3874787,-53.15,-70.92,59,58,75,20.8
5,Ilulissat,GL,3423146,69.22,-51.1,3.2,71,75,8.05
6,Asău,RO,686090,46.43,26.4,43.72,48,90,12.75
7,Bosaso,SO,64013,11.28,49.18,76.95,85,55,13.18
8,Longyearbyen,SJ,2729907,78.22,15.64,-2.2,53,40,11.41
9,Tulum,MX,3515040,20.22,-87.47,84.49,58,40,16.11
10,Znamenskoye,RU,1485020,57.13,73.83,34.65,86,88,12.01
11,Oudtshoorn,ZA,967106,-33.59,22.2,64.4,100,92,1.12
12,Hamilton,US,4513583,39.18,-84.53,35.22,93,90,12.75
13,Ixtapa,MX,4004293,20.7,-105.2,78.89,74,5,13.87
14,East London,ZA,1006984,-33.02,27.91,73.89,78,51,8.93
15,Fortuna,US,5563839,40.6,-124.16,47.03,87,75,13.87
16,New Norfolk,AU,2155415,-42.78,147.06,49.96,81,75,5.82
17,Chokurdakh,RU,2126123,70.63,147.92,-27.99,97,0,2.8
18,Itoman,JP,1861280,26.12,127.67,57.33,54,75,23.04
19,San Francisco,US,5391959,37.77,-122.42,50.22,76,90,11.41
20,Vao,NC,2137773,-22.67,167.48,83.25,82,100,21.39
21,Jiuquan,CN,1279945,39.74,98.52,29.43,33,97,3.13
22,Dunedin,NZ,2191562,-45.87,170.5,57.51,75,100,1.01
23,Upernavik,GL,3418910,72.79,-56.15,-10.35,97,100,3.56
24,Codrington,AU,2171099,-38.27,141.97,58.95,71,1,15.66
25,Rikitea,PF,4030556,-23.12,-134.97,77.67,80,0,13.69
26,Saint Paul Harbor,US,5866583,57.79,-152.41,33.8,59,1,5.82
27,Muhafazat Lahij,YE,6201197,13.17,44.58,73.17,69,0,7.56
28,Nālūt,LY,2214432,30.33,10.85,63.45,21,0,9.44
29,Aykhal,RU,2027296,66,111.5,15.8,92,70,6.71
30,Kupang,ID,2057087,-10.17,123.58,81.09,82,5,4.29
31,Ouadda,CF,236901,8.08,22.4,80.91,23,100,4.41
